,controlTimes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
V54,0,10.22470324,7.94576486,8.31438778,10.47131913,11.51129841,12.12203387,9.934100258,11.05933978,13.49902249,14.69900229,10.13759159,8.234685147,9.989529478,11.68245171,7.991385234,11.61399253,10.70764996,12.43353053,9.263998214,8.41850735
V55,2,10.35067357,8.040518196,8.508340927,10.56103601,10.47031454,9.578247862,8.548771703,11.29877033,13.81173687,13.38173921,10.13592525,8.35083341,13.60938852,10.67450796,8.249860034,10.87247181,10.26741159,10.82494453,8.66003208,8.133986018
V56,3,11.32151331,8.064567717,8.335371156,9.89972819,10.23320589,9.27293358,8.898829817,11.13141282,14.18115313,13.18189776,10.19741264,8.408349015,13.69778588,10.92435472,8.246228175,10.7588313,9.937959446,11.26938286,8.897648822,8.188661406
V57,4,11.73607867,7.807115427,8.54351059,10.04021438,10.65854484,8.759343235,9.054101339,10.70765802,13.75126723,13.73026089,10.33941928,8.468940839,12.99471361,10.82280931,8.203865605,11.14272276,10.01084935,11.74054513,8.841044185,8.165607662
V58,6,11.61594743,7.631720184,8.783687843,10.3073686,10.86146461,8.877497909,8.54685526,11.18386255,14.20247723,14.13329407,10.00665182,8.544399483,12.8931529,10.541234,8.130346093,10.82226778,10.04943183,11.99150781,9.270792367,8.219412666
V59,7,11.21336067,7.794735498,8.152191982,10.28028882,11.22082871,8.12784561,9.7919051,10.89102615,13.62817192,14.43421215,10.21651481,9.166612547,11.38976754,10.71341594,8.028305426,11.28518103,9.979994111,12.12662995,8.709608147,8.089597474
V60,8,11.11430024,7.677816871,8.455532294,10.54884997,10.9077827,8.504359043,9.447111126,10.51247688,14.06857653,14.88597687,9.975783271,8.718555655,11.67727322,11.33372526,8.129091125,11.19275845,9.997504542,12.04610376,8.701585202,8.166153374
V61,10,10.92194558,7.961410186,8.186592308,10.3401045,11.32653937,9.994439848,9.656984432,10.84106163,13.68561733,14.60923346,9.926351015,8.488201392,10.46345439,11.50149951,7.910511342,11.15875185,9.861018182,12.33157219,8.628407864,8.128673307
V62,11,10.55413709,7.838609853,8.036070535,10.32252671,11.24035088,10.14097713,9.787236445,10.72516425,13.87350536,14.54705171,9.824432494,7.995574964,10.14953038,11.92566297,8.367492466,11.17791328,10.0440354,12.26325051,8.713863918,8.070747237
V63,12,10.69054836,7.880668885,7.958829648,10.89196289,11.29121829,11.61652199,9.973697609,10.89348234,13.74651667,14.23853178,9.674966102,8.294911406,10.64037141,11.69046179,8.041669086,11.47736706,10.28091356,12.29966811,8.846515544,8.26284943
V64,14,10.43932606,7.889153267,8.034221078,10.37038903,11.33226312,13.13372182,9.96908321,11.17651626,14.09798978,15.06871942,9.68336932,8.473820009,11.13308583,11.07916891,8.134487018,11.52774142,10.13625431,11.98696335,9.002965501,8.240258023
V65,16,10.35484286,7.976787617,8.227275283,10.93139439,11.74858924,14.51382005,9.653236079,12.16978955,13.93760261,14.42845497,9.57911439,8.384678084,10.68121928,11.40048198,8.089542135,11.56501278,10.57398467,12.09352055,8.570500971,8.305820752
V66,17.5,10.81810716,8.046828296,8.18612169,10.15950029,11.57952267,15.08927402,9.76872367,11.45735448,14.09444124,14.4638265,9.429029055,8.121203712,10.98660752,11.11206567,8.258637035,11.30895576,10.49215104,12.53279327,8.679467661,8.167064356
V67,0,9.411327448,8.07399308,8.299650096,10.29023228,11.06659514,10.14917941,9.617171246,12.67049104,14.31412118,13.73901648,10.12985324,8.785546475,11.59245646,11.70848782,8.332734643,11.71654033,11.74500986,12.26283101,9.19084593,8.535457382
V68,2,10.41749431,8.296456886,8.522502373,9.897704009,10.45867936,9.597669163,8.579577091,12.51932086,14.42460523,13.55493434,10.11507078,8.707364868,13.31449122,11.12656725,8.335453122,10.95066229,10.76683201,11.3491365,9.101661268,8.297757427
V69,3,11.79931057,7.974140975,8.479334683,9.910199448,9.96722412,9.227357928,8.767964628,11.21087236,14.16422856,13.11059126,10.16896375,8.404302978,14.35585865,10.8073622,8.323228212,10.60514957,9.968136491,11.20296976,9.199738874,8.295532602
V70,4,11.57740169,8.032958492,8.571471379,10.0467004,10.71100769,8.833298887,8.804679479,11.23943125,14.04123806,13.66106604,10.41210822,8.346162038,13.56573113,11.06428725,8.400952655,11.0614606,9.988603121,11.76258185,9.026007749,8.363175843
V71,6,11.42454131,8.048514409,8.759546681,10.65086209,10.50302928,8.81095567,8.716423387,10.39630876,14.35858678,14.14675402,10.13962851,8.308929552,12.75314487,11.54562962,8.233293279,11.06406412,9.900763582,12.07544103,8.775645012,8.171953986
